0	1951	O	O	O	O
1	bis	O	O	O	O
2	1953	O	O	O	O
3	wurde	O	O	O	O
4	der	O	O	O	O
5	nördliche	O	O	O	O
6	Teil	O	O	O	O
7	als	O	O	O	O
8	Jugendburg	O	O	O	O
9	des	O	O	O	O
10	Kolpingwerkes	B-OTH	O	B-ORG	O
11	gebaut	O	O	O	O
12	.	O	O	O	O

0	Da	O	O	O	O
1	Muck	B-PER	O	B-PER	O
2	das	O	O	O	O
3	Kriegsschreiben	O	O	O	O
4	nicht	O	O	O	O
5	überbracht	O	O	O	O
6	hat	O	O	O	O
7	,	O	O	O	O
8	wird	O	O	O	O
9	er	O	O	O	O
10	als	O	O	O	O
11	Retter	O	O	O	O
12	des	O	O	O	O
13	Landes	O	O	O	O
14	ausgezeichnet	O	O	O	O
15	und	O	O	O	O
16	soll	O	O	O	O
17	zum	O	O	O	O
18	Schatzmeister	O	O	O	O
19	ernannt	O	O	O	O
20	werden	O	O	O	O
21	.	O	O	O	O

0	Mit	O	O	O	O
1	1.	O	O	O	O
2	Jänner	O	O	O	O
3	2007	O	O	O	O
4	wurde	O	O	O	O
5	Robert	B-PER	O	B-PER	O
6	Schörgenhofer	I-PER	O	I-PER	O
7	,	O	O	O	O
8	als	O	O	O	O
9	Nachfolger	O	O	O	O
10	des	O	O	O	O
11	ausgeschiedenen	O	O	O	O
12	Dietmar	B-PER	O	B-PER	O
13	Drabek	I-PER	O	I-PER	O
14	,	O	O	O	O
15	in	O	O	O	O
16	die	O	O	O	O
17	Kaderliste	O	O	O	O
18	der	O	O	O	O
19	FIFA-Schiedsrichter	B-ORGpart	O	B-ORGpart	O
20	aufgenommen	O	O	O	O
21	.	O	O	O	O

0	Die	O	O	O	O
1	These	O	O	O	O
2	,	O	O	O	O
3	Schlatter	B-PER	O	B-PER	O
4	sei	O	O	O	O
5	Antisemit	O	O	O	O
6	gewesen	O	O	O	O
7	,	O	O	O	O
8	wurde	O	O	O	O
9	seither	O	O	O	O
10	in	O	O	O	O
11	der	O	O	O	O
12	theologischen	O	O	O	O
13	Fachliteratur	O	O	O	O
14	nicht	O	O	O	O
15	mehr	O	O	O	O
16	vertreten	O	O	O	O
17	.	O	O	O	O

0	"	O	O	O	O
1	Lehmbruck	B-OTH	B-PER	B-PER	O
2	-	I-OTH	O	O	O
3	Beuys	I-OTH	B-PER	B-PER	O
4	.Zeichnungen	I-OTH	O	O	O
5	"	O	O	O	O
6	lautet	O	O	O	O
7	der	O	O	O	O
8	Titel	O	O	O	O
9	der	O	O	O	O
10	gerade	O	O	O	O
11	eröffneten	O	O	O	O
12	Ausstellung	O	O	O	O
13	,	O	O	O	O
14	die	O	O	O	O
15	Kuratorin	O	O	O	O
16	Dr	O	O	O	O
17	.	O	O	O	O
18	Marion	B-PER	O	B-PER	O
19	Bornscheuer	I-PER	O	I-PER	O
20	bis	O	O	O	O
21	zum	O	O	O	O
22	11.	O	O	O	O
23	Januar	O	O	O	O
24	im	O	O	O	O
25	Lehmbruck-Museum	B-ORG	O	B-ORG	O
26	präsentiert	O	O	O	O
27	.	O	O	O	O

0	Der	O	O	O	O
1	Videohoster	O	O	O	O
2	und	O	O	O	O
3	die	O	O	O	O
4	Vertreter	O	O	O	O
5	der	O	O	O	O
6	Autoren	O	O	O	O
7	schieben	O	O	O	O
8	sich	O	O	O	O
9	gegenseitig	O	O	O	O
10	den	O	O	O	O
11	schwarzen	O	O	O	O
12	Peter	B-PER	O	O	O
13	zu	O	O	O	O
14	.	O	O	O	O

0	Die	O	O	O	O
1	Kanzel	O	O	O	O
2	befindet	O	O	O	O
3	sich	O	O	O	O
4	an	O	O	O	O
5	der	O	O	O	O
6	Südseite	O	O	O	O
7	des	O	O	O	O
8	Saals	O	O	O	O
9	.	O	O	O	O

0	Zuletzt	O	O	O	O
1	war	O	O	O	O
2	es	O	O	O	O
3	Wolfram	B-PER	O	B-PER	O
4	Graf-Rudolf	I-PER	O	I-PER	O
5	,	O	O	O	O
6	Chef	O	O	O	O
7	des	O	O	O	O
8	Zoos	O	O	O	O
9	in	O	O	O	O
10	Aachen	B-LOC	O	B-LOC	O
11	.	O	O	O	O

0	Nach	O	O	O	O
1	den	O	O	O	O
2	Symptomen	O	O	O	O
3	lassen	O	O	O	O
4	sich	O	O	O	O
5	die	O	O	O	O
6	beiden	O	O	O	O
7	Krankheiten	O	O	O	O
8	-	O	O	O	O
9	"	O	O	O	O
10	normale	O	O	O	O
11	"	O	O	O	O
12	Influenza	O	O	O	O
13	und	O	O	O	O
14	Schweinegrippe	O	O	O	O
15	-	O	O	O	O
16	nicht	O	O	O	O
17	unterscheiden	O	O	O	O
18	.	O	O	O	O

0	Politisch	O	O	O	O
1	interessiert	O	O	O	O
2	ging	O	O	O	O
3	Antommarchi	B-PER	O	B-PER	O
4	nach	O	O	O	O
5	Polen	B-LOC	O	B-LOC	O
6	und	O	O	O	O
7	übernahm	O	O	O	O
8	dort	O	O	O	O
9	1830	O	O	O	O
10	während	O	O	O	O
11	des	O	O	O	O
12	Novemberaufstandes	O	O	O	O
13	in	O	O	O	O
14	Warschau	B-LOC	O	B-LOC	O
15	die	O	O	O	O
16	Leitung	O	O	O	O
17	der	O	O	O	O
18	ärztlichen	O	O	O	O
19	Anstalten	O	O	O	O
20	;	O	O	O	O
21	kehrte	O	O	O	O
22	jedoch	O	O	O	O
23	bald	O	O	O	O
24	nach	O	O	O	O
25	Paris	B-LOC	O	B-LOC	O
26	zurück	O	O	O	O
27	.	O	O	O	O

0	Am	O	O	O	O
1	20.	O	O	O	O
2	Januar	O	O	O	O
3	1839	O	O	O	O
4	gelang	O	O	O	O
5	Manuel	B-PER	O	B-PER	O
6	Bulnes	I-PER	O	I-PER	O
7	bei	O	O	O	O
8	der	O	O	O	O
9	Belagerung	O	O	O	O
10	von	O	O	O	O
11	Yungay	B-LOC	O	B-LOC	O
12	der	O	O	O	O
13	entscheidende	O	O	O	O
14	Sieg	O	O	O	O
15	.	O	O	O	O

0	Das	O	O	O	O
1	Auto	O	O	O	O
2	geriet	O	O	O	O
3	ins	O	O	O	O
4	Schleudern	O	O	O	O
5	,	O	O	O	O
6	kam	O	O	O	O
7	nach	O	O	O	O
8	rechts	O	O	O	O
9	von	O	O	O	O
10	der	O	O	O	O
11	Fahrbahn	O	O	O	O
12	ab	O	O	O	O
13	und	O	O	O	O
14	prallte	O	O	O	O
15	gegen	O	O	O	O
16	einen	O	O	O	O
17	Baum	O	O	O	O
18	.	O	O	O	O

0	Die	O	O	O	O
1	Dramaturgie	O	O	O	O
2	der	O	O	O	O
3	Partie	O	O	O	O
4	hielt	O	O	O	O
5	,	O	O	O	O
6	was	O	O	O	O
7	sich	O	O	O	O
8	Fußballfans	O	O	O	O
9	weltweit	O	O	O	O
10	erträumt	O	O	O	O
11	hatten	O	O	O	O
12	.	O	O	O	O

